,PERMCO,fyear,dlrsn
8299,3219,2010,0.0
8300,3219,2011,0.0
8301,3219,2012,0.0
8302,3219,2013,0.0
8303,3219,2014,0.0
8304,3219,2015,0.0
8305,3219,2016,0.0
8306,3219,2017,0.0
8307,3219,2018,0.0
8308,3219,2019,0.0
8309,3160,2000,0.0
8310,3160,2001,0.0
8311,3160,2002,0.0
8312,3160,2003,0.0
8313,3160,2004,0.0
8314,3160,2005,0.0
8315,3160,2006,0.0
8316,3160,2007,0.0
8317,3160,2008,0.0
8318,3160,2009,0.0
8319,3160,2010,0.0
8320,3160,2011,0.0
8321,3160,2012,0.0
8322,3160,2013,0.0
8323,3160,2014,0.0
8324,3160,2015,0.0
8325,3160,2016,0.0
8326,3160,2017,0.0
8327,3160,2018,0.0
8328,3160,2019,0.0
8329,3217,2000,0.0
8330,3217,2001,0.0
8331,3217,2002,0.0
8332,3217,2003,0.0
8333,3217,2004,0.0
8334,3217,2005,0.0
8335,3217,2006,0.0
8336,3217,2007,0.0
8337,3217,2008,0.0
8338,3217,2009,0.0
8339,3217,2010,0.0
8340,3217,2011,0.0
8341,3217,2012,0.0
8342,3217,2013,0.0
8343,3217,2014,0.0
8344,3217,2015,0.0
8345,3217,2016,0.0
8346,3217,2017,0.0
8347,3217,2018,0.0
8348,21294,2000,0.0
8349,21294,2001,0.0
8350,21294,2002,0.0
8351,21294,2003,0.0
8352,21294,2004,0.0
8353,21294,2005,0.0
8354,21294,2006,0.0
8355,21294,2007,0.0
8356,21294,2008,0.0
8357,21294,2009,0.0
8358,21294,2010,0.0
8359,21294,2011,0.0
8360,21294,2012,0.0
8361,21294,2013,0.0
8362,21294,2014,0.0
8363,21294,2015,0.0
8364,21294,2016,0.0
8365,21294,2017,0.0
8366,21294,2018,0.0
8367,21294,2019,0.0
8368,21247,2000,0.0
8369,21247,2001,0.0
8370,21247,2002,0.0
8371,21247,2003,0.0
8372,21247,2004,0.0
8373,21247,2005,0.0
8374,21247,2006,0.0
8375,21247,2007,0.0
8376,21247,2008,0.0
8377,21247,2009,0.0
